dataset,min_sup,total_candidates,total_patterns,time_required,memory_required
retail,70.0,0,0,0.3085
retail,50.0,0,1,0.3952
retail,30.0,1,3,1.612
retail,10.0,11,9,4.9147
retail,5.0,18,16,6.8355
retail,2.5,104,38,28.4731
retail,2.0,206,55,39.2344
retail,1.5,669,139,108.6982
retail,1.25,1877,257,315.5184
retail,1.125,1635,137,152.1823
