Dataset, Positive Class,k,DT_threshold,Accuracy DT,Accuracy Bayesian,Precision DT, Precision Bayesian,Recall DT, Recall Bayesian,F-score DT, F-score Bayesian,Runtime DT, Runtime Bayesian
Wine,3,10,0,59.550561797752806,97.75280898876404,70.58823529411765,96.0,50.0,100.0,58.53658536585366,97.95918367346938,19.718674898147583,0.16494059562683105
Car,unacc,10,5,85.82175925925925,85.82175925925925,95.52742616033755,92.11155378486056,93.55371900826447,95.53719008264463,94.5302713987474,93.79310344827587,3.2973039150238037,0.31847119331359863
Car,unacc,10,5,85.41666666666667,85.82175925925925,95.21812080536913,91.89833200953137,93.80165289256199,95.6198347107438,94.50457951706912,93.72215471850951,3.358440399169922,0.3009469509124756
Car,unacc,10,5,85.41666666666667,85.87962962962963,95.44303797468355,91.99683042789223,93.47107438016529,95.9504132231405,94.44676409185804,93.93203883495144,3.363168716430664,0.30773210525512695
Iris,Iris-versicolor,10,5,95.33333333333333,94.66666666666667,90.56603773584905,92.0,96.0,92.0,93.20388349514563,92.0,1.7301673889160156,0.05572986602783203
Iris,Iris-versicolor,10,5,95.33333333333333,95.33333333333333,90.56603773584905,92.15686274509804,96.0,94.0,93.20388349514563,93.06930693069306,1.737534761428833,0.05627155303955078
Iris,Iris-versicolor,10,5,95.33333333333333,95.33333333333333,90.56603773584905,92.15686274509804,96.0,94.0,93.20388349514563,93.06930693069306,1.8973419666290283,0.061167240142822266
Mushroom,e,10,5,100.0,97.27143869596031,100.0,96.17728531855956,100.0,99.54128440366972,100.0,97.83037475345166,30.56047296524048,2.463616132736206
Mushroom,e,10,5,100.0,97.30687455705174,100.0,96.23059866962306,100.0,99.54128440366972,100.0,97.85794813979707,30.56782054901123,2.7982189655303955
Mushroom,e,10,5,100.0,97.50177179305457,100.0,96.49902750764102,100.0,99.56995412844037,100.0,98.01044165373219,29.507333040237427,2.774414300918579
Heart Disease,0,10,5,53.1986531986532,55.89225589225589,77.40112994350282,83.23353293413173,85.625,86.875,81.30563798219585,85.01529051987767,23.681745767593384,0.2365419864654541
Heart Disease,0,10,5,56.9023569023569,55.21885521885522,74.8663101604278,83.13253012048193,87.5,86.25,80.69164265129682,84.66257668711657,24.036731958389282,0.22367095947265625
Heart Disease,0,10,5,51.178451178451176,55.21885521885522,73.25581395348837,82.45614035087719,78.75,88.125,75.90361445783132,85.19637462235649,23.688153743743896,0.22832846641540527
Credit Approval,+,10,5,84.53292496171517,77.947932618683,82.82828282828282,86.89320388349515,83.10810810810811,60.472972972972975,82.96795952782463,71.31474103585657,119.59371638298035,0.30395030975341797
Credit Approval,+,10,5,84.37978560490046,77.33537519142419,82.33333333333333,85.92233009708738,83.44594594594595,59.7972972972973,82.88590604026845,70.5179282868526,118.6837637424469,0.3122429847717285
Credit Approval,+,10,5,84.37978560490046,77.7947932618683,81.49350649350649,86.47342995169082,84.79729729729729,60.472972972972975,83.11258278145695,71.17296222664015,111.65240406990051,0.2956068515777588
Wine,3,10,5,40.449438202247194,98.31460674157303,-1,97.95918367346938,-1,100.0,-1,98.96907216494844,13.98764944076538,0.1687173843383789
Wine,3,10,5,38.20224719101124,98.31460674157303,-1,97.95918367346938,-1,100.0,-1,98.96907216494844,13.890756607055664,0.16097307205200195
Wine,3,10,5,39.8876404494382,97.75280898876404,-1,96.0,-1,100.0,-1,97.95918367346938,13.730339050292969,0.16531848907470703
